age,income,employment_years,num_credit_accounts,total_debt,debt_to_income_ratio,payment_history_score,num_late_payments,credit_utilization,num_hard_inquiries,loan_amount,loan_term_months,savings_balance,education_level,employment_status,creditworthy,education_encoded,employment_encoded,income_per_debt,savings_to_income_ratio,payment_reliability,credit_age_score
59,102371.18,13,2,16458.44,0.1608,592,7,0.6115,5,2513.37,12,1414.14,Master,Employed,1,2,0,6.2196,0.0138,0.65,26
49,46519.23,13,12,15084.7,0.3243,593,18,0.1006,2,22854.83,36,11047.6,Master,Employed,1,2,0,3.0837,0.2375,0.1,156
35,47931.47,12,6,0.0,0.0,694,14,0.3966,6,8480.48,24,4037.32,Bachelor,Unemployed,1,0,2,47931.47,0.0842,0.3,72
63,15000.0,6,5,579.42,0.0386,812,15,0.5072,1,13999.72,12,3323.26,Bachelor,Employed,1,0,0,25.8434,0.2216,0.25,30
28,66423.88,14,4,29639.85,0.4462,479,8,0.9958,7,29801.83,48,11057.01,High School,Employed,0,1,0,2.241,0.1665,0.6,56
41,62505.03,18,7,32063.84,0.513,534,11,0.1786,6,20087.63,36,1757.2,High School,Employed,1,1,0,1.9493,0.0281,0.45,126
59,43740.13,34,8,0.0,0.0,636,15,0.9824,7,1000.0,48,0.0,Master,Employed,0,2,0,43740.13,0.0,0.25,272
39,53362.99,16,4,7779.23,0.1458,307,3,0.3761,1,1000.0,60,18355.99,Master,Employed,1,2,0,6.8588,0.344,0.85,64
43,28775.58,34,1,36079.48,1.2538,742,4,0.2003,2,14356.9,12,11476.99,PhD,Employed,1,3,0,0.7975,0.3988,0.8,34
31,78968.9,18,1,9229.42,0.1169,838,7,0.4141,3,2872.59,36,6414.74,High School,Self-Employed,1,1,1,8.5553,0.0812,0.65,18
31,45206.01,19,1,18327.64,0.4054,390,0,0.614,8,21485.47,24,7979.14,Bachelor,Employed,0,0,0,2.4664,0.1765,1.0,19
44,116880.98,34,11,41627.08,0.3561,571,5,0.2135,4,15422.63,24,11035.19,Bachelor,Employed,1,0,0,2.8077,0.0944,0.75,374
56,51487.97,31,1,14576.34,0.2831,304,14,0.2914,5,16653.85,24,13840.02,Bachelor,Employed,1,0,0,3.5321,0.2688,0.3,31
60,39807.62,23,5,12429.21,0.3122,518,3,0.8545,0,7932.57,24,3464.15,Bachelor,Employed,1,0,0,3.2025,0.087,0.85,115
44,46753.74,16,4,17644.45,0.3774,417,10,0.999,3,32413.84,36,10196.88,Master,Employed,0,2,0,2.6496,0.2181,0.5,64
23,26760.78,6,13,47801.16,1.7862,414,4,0.3182,3,43425.94,60,4959.77,Bachelor,Self-Employed,0,0,1,0.5598,0.1853,0.8,78
42,64645.44,0,14,26693.03,0.4129,562,17,0.1489,9,12214.15,24,6866.11,High School,Unemployed,0,1,2,2.4217,0.1062,0.15,0
22,46602.01,34,9,20286.22,0.4353,605,14,0.7932,7,18530.39,24,8964.16,High School,Self-Employed,1,1,1,2.2971,0.1924,0.3,306
44,77625.06,31,3,12134.6,0.1563,721,17,0.6005,7,15974.17,24,7959.93,High School,Employed,1,1,0,6.3965,0.1025,0.15,93
64,49505.05,12,14,28082.25,0.5673,506,19,0.1004,9,12403.13,60,12413.4,Bachelor,Self-Employed,0,0,1,1.7628,0.2508,0.05,168
50,82688.84,5,7,29895.5,0.3615,602,12,0.9468,5,6679.3,12,10922.52,High School,Unemployed,0,1,2,2.7658,0.1321,0.4,35
58,70149.11,13,11,3902.32,0.0556,411,4,0.078,7,4150.32,24,0.0,High School,Employed,1,1,0,17.9717,0.0,0.8,143
22,55571.94,14,8,30299.42,0.5452,716,0,0.6254,8,3644.03,24,0.0,Bachelor,Employed,0,0,0,1.834,0.0,1.0,112
41,86604.65,3,6,17732.72,0.2048,584,17,0.4239,4,19052.4,24,5781.7,Master,Employed,0,2,0,4.8836,0.0668,0.15,18
53,74045.87,15,12,20371.98,0.2751,484,13,0.5566,0,9803.26,12,18971.75,Master,Employed,0,2,0,3.6345,0.2562,0.35,180
32,113924.26,27,13,6735.66,0.0591,520,4,0.2132,0,1000.0,24,2890.45,High School,Unemployed,1,1,2,16.9111,0.0254,0.8,351
42,46810.9,15,10,14000.27,0.2991,743,5,0.6881,1,19448.58,12,6750.66,High School,Employed,0,1,0,3.3433,0.1442,0.75,150
64,56532.32,3,13,4547.87,0.0804,416,15,0.9597,1,14617.39,12,4781.92,High School,Employed,0,1,0,12.4278,0.0846,0.25,39
45,86374.18,25,1,3826.73,0.0443,369,11,0.4584,4,28466.73,48,4675.73,PhD,Employed,1,3,0,22.5654,0.0541,0.45,25
69,24129.24,27,8,25656.35,1.0633,369,19,0.523,6,18731.22,48,9069.44,Bachelor,Employed,0,0,0,0.9404,0.3759,0.05,216
47,81338.87,31,10,14673.25,0.1804,726,17,0.2398,6,1000.0,24,16404.66,High School,Employed,1,1,0,5.543,0.2017,0.15,310
62,63786.06,1,3,505.43,0.0079,742,1,0.8919,3,1000.0,36,10735.81,Master,Unemployed,1,2,2,125.9524,0.1683,0.95,3
48,37235.78,30,8,52655.79,1.4141,436,12,0.9712,3,7805.28,48,3178.81,Bachelor,Employed,0,0,0,0.7071,0.0854,0.4,240
